Requirement ID,Requirement title,Architecture component,Architecture document,Architecture section,Proposed ADR,Security control,Operational control,Verification approach,Coverage status,Gap or question
ACC-001,Account registration,Identity & access (Clerk),SECURITY-ARCHITECTURE.md,§1 Authentication,ADR-006; ADR-022,"Email verification; rate limiting - CLERK-SIDE on the hosted credential surface, not this platform (see gap)",Signup abuse monitoring,Registration + verification integration tests,Covered (MVP),"ACBP-P7-013 corrected the ATTRIBUTION of the rate-limiting claim in this row, which named a control without saying whose. Registration runs on the Clerk-hosted SignIn/SignUp components, so credentials reach Clerk Frontend API and never a route in this repository: Clerk own limits apply and NOTHING HERE TESTS OR STRENGTHENS THEM. This platform own request ceilings (ACBP-P7-013) bound AUTHENTICATED apps/web API routes only and do not apply to registration. Same artefact class as the SECURITY-VERIFICATION-PLAN Authentication row, found by widening the sweep past the row the finding named. Resolved: ADR-022 (Clerk)"
ACC-002,Authentication and session,Identity & access (Clerk),SECURITY-ARCHITECTURE.md,§1 Sessions,ADR-006; ADR-022,Clerk sessions verified server-side; internal authz authoritative,Failed-login alerting,Session lifecycle + negative authn tests incl. forged-claim scenarios,Covered (MVP),Resolved: ADR-022
ACC-003,Profile settings,Identity & access,API-CONTRACTS.md,Accounts domain,ADR-006,Email re-verification on change,—,CRUD + audit tests,Covered (MVP),
ACC-004,Account deactivation,Account & company + Emergency-stop,WORKFLOW-STATE-MACHINES.md,§1 lifecycle,ADR-006,Autonomous-work halt (invariant 16-analog),Deactivation runbook,Deactivate-then-schedule negative tests,Partially covered - halt only (Post-MVP),"ACBP-P7-002: the ACCOUNT half is DEFERRED by owner ruling (company-pause enforcement first). The gate DOES refuse a non-active account today and names the account rather than the company - proved against real PostgreSQL - but NO transition writes that status, so the negative drives it by direct database write. The account status vocabulary is unruled (CDR-079 s9.2) and WORKFLOW-STATE-MACHINES has no account section at all. There is no deactivation runbook."
ACC-005,Account deletion,Account & company + Export,DATA-ARCHITECTURE.md,§1 + diagrams/15,ADR-016,Two-step + cooling-off; staged purge; legal holds,Purge job monitoring,Deletion flow + residual-data scan tests,Covered (Post-MVP),AOQ-12 retention
PORT-001,Company portfolio,Account & company,API-CONTRACTS.md,Companies domain,ADR-007,Tenant-scoped listing,—,Portfolio scoping tests,Covered (MVP),
PORT-002,Multiple companies,Account & company,DATA-ARCHITECTURE.md,§1 Company,ADR-007,Per-company isolation,—,Multi-company isolation tests,Covered (MVP),
PORT-003,Company switching,Identity & access + web,API-CONTRACTS.md,Companies domain,ADR-007,Context switch discards prior tenant state,—,Cross-contamination tests on switch,Covered (MVP),
PORT-004,Portfolio metrics,Account & company + Activity,COMPONENT-CATALOG.md,Account & company,ADR-015,Zero-vs-unknown honesty (invariant 20),Metric freshness monitoring,Source/timestamp rendering tests,Covered (Post-MVP),
COMP-001,Company creation modes,Account & company + Discovery,diagrams/03,onboarding flow,ADR-006,Input validation,—,Three-mode creation tests,Covered (MVP),D-10 existing-business scope
COMP-002,Workspace provisioning,Workflow coordinator,diagrams/03,provisioning workflow,ADR-008,Tenant-stamped jobs,Provisioning step monitoring,Kill-and-resume provisioning tests,Covered (MVP),
COMP-003,Provisioning progress stream,Activity event,EVENT-CATALOG.md,company events,ADR-015,No fake success (invariant 20),SSE health,Ordered-stream + honest-failure tests,Covered (MVP),
COMP-004,Company profile and brief,Account & company + Document,DATA-ARCHITECTURE.md,§1 Company profile,ADR-016,Versioned edits audited,—,Version history tests,Covered (MVP),
COMP-005,Company settings,Account & company,API-CONTRACTS.md,Companies domain,ADR-006,Owner-role check,—,Settings CRUD tests,Covered (MVP),
COMP-006,Company pause,Emergency-stop + Workflow coordinator,diagrams/13,pause semantics,ADR-008,Invariant 16; safe-stop,Held-work queue monitoring,Pause-then-schedule negative tests; in-flight safe-stop tests,Partially covered - new-work halt only (MVP),"OQ-14 default documented. ACBP-P7-002 CORRECTION: this row read Covered (MVP) while half of it was UNCOVERED. From ACBP-P1-010 until ACBP-P7-002 nothing in production read companies.status before doing autonomous work - pause was a LABEL, NOT A CONTROL - so the pause-then-schedule negative tests named in the column beside this one did not exist. They exist now: real PostgreSQL, four call sites (startRun, dispatchToolCall, enqueueJob, runJobStep), anchored on the database rather than on a return value - the ABSENCE of the task_runs, jobs and checkpoint rows, and for the dispatcher the PRESENCE of a tool_calls row whose denial_reason is company_not_active, because TOOL-002 requires the refusal itself to be recorded. IN-FLIGHT SAFE-STOP IS STILL NOT COVERED: pause refuses NEW work and does not terminate a run already executing, and the durable-stop sweep that would is CDR-079 s9.5 (OWNER)."
COMP-007,Company deletion safeguards,Account & company + Export,DATA-ARCHITECTURE.md,lifecycle + diagrams/15,ADR-016,Typed confirm; export offer; staged purge,Purge monitoring,Deletion safeguard tests,Covered (Post-MVP),
COMP-008,Company status indicator,Account & company,WORKFLOW-STATE-MACHINES.md,§1,ADR-006,Truthful state (invariant 20),State-lag monitoring,Status accuracy tests,Covered (MVP),
DISC-001,Adaptive interview engine,Discovery interview + Model gateway,AI-AND-WORKER-ARCHITECTURE.md,§1 + diagrams/04,ADR-011; ADR-019,Schema-validated generation; fallback flagged,Generation latency metric (NFR-004),Batch-size + adaptivity tests against both models,Covered (MVP),Resolved: ADR-019; snapshot pins = AOQ-18
DISC-002,Context-aware follow-ups,Discovery interview,diagrams/04,flow,ADR-011,—,—,Follow-up dependency tests,Covered (MVP),
DISC-003,Vague-answer detection,Discovery interview,diagrams/04,check node,ADR-011,—,Quality metrics,Seeded-vague-answer tests,Covered (MVP),
DISC-004,Contradiction detection,Discovery interview,diagrams/04,check node,ADR-011,—,—,Seeded-contradiction tests,Covered (MVP),
DISC-005,Unknown answers and suggested assumptions,Discovery + Memory,DATA-ARCHITECTURE.md,§3 provenance,ADR-011,Assumption typed AI-suggested,—,I-don't-know flow tests,Covered (MVP),
DISC-006,Question rationale,Discovery interview,API-CONTRACTS.md,Discovery domain,—,—,—,Rationale presence tests,Covered (MVP),
DISC-007,Progressive resumable session,Discovery interview,WORKFLOW-STATE-MACHINES.md,§2,ADR-008,Session state durable,—,Close-and-resume exactness tests,Covered (MVP),
DISC-008,Answer correction,Discovery + Understanding,WORKFLOW-STATE-MACHINES.md,§2 superseded,ADR-015,Corrections audited,—,Dependency re-evaluation tests,Covered (MVP),
UNDER-001,Business-understanding document,Business understanding,diagrams/04,generation,ADR-011,—,Render performance,Field-completeness tests,Covered (MVP),
UNDER-002,Fact/assumption separation,Memory + Understanding,DATA-ARCHITECTURE.md,§3,ADR-015,Type set by source path not content,—,Classification integrity tests,Covered (MVP),
UNDER-003,Understanding review controls,Business understanding,API-CONTRACTS.md,Understanding domain,ADR-015,Owner-only confirm; planning blocked until approval,—,Review-control + gate tests,Covered (MVP),
UNDER-004,Assumption lifecycle,Memory module,DATA-ARCHITECTURE.md,§3 confirmation_state,ADR-015,Status transitions audited,—,Lifecycle transition tests,Covered (MVP),
UNDER-005,Understanding confidence display,Business understanding,DATA-ARCHITECTURE.md,§3 confidence,—,Weakest-section rule,—,Confidence computation tests,Covered (MVP),
STRAT-001,Distinct strategic options,Strategy & decision + Strategy worker,diagrams/05,similarity check,ADR-011,Honest fewer-than-3 path,Generation time metric,Similarity-check + distinctness tests,Covered (MVP),
STRAT-002,Option content standard,Strategy worker,AI-AND-WORKER-ARCHITECTURE.md,§2 strategy worker,ADR-012,No fake precision (unknown fields labeled),—,16-field validation tests,Covered (MVP),
STRAT-003,Option selection controls,Strategy & decision,diagrams/05,owner actions,—,Owner-only selection,—,Select/edit/combine/reject tests,Covered (MVP),
STRAT-004,AI recommendation with rationale,Strategy worker,diagrams/05,recommendation,ADR-012,Never auto-selects,—,Rationale presence tests,Covered (MVP),
STRAT-005,Phase-limited approval,Strategy & decision + Planning,diagrams/05,phase node,ADR-009,Server-side approval boundary,—,Phase-boundary violation tests,Covered (MVP),
STRAT-006,Decision record,Strategy & decision,DATA-ARCHITECTURE.md,§1 Decision (immutable),ADR-015,Record-write failure blocks transition,—,Immutability + blocking tests,Covered (MVP),
DEC-001,Decision Room hub,Activity + Approval + web,diagrams/11,Decision Room queues,ADR-015,Tenant-scoped queues,Queue count metrics,Ten-queue rendering + deep-link tests,Covered (MVP),
PLAN-001,Autonomous task planning,Planning + Model gateway,diagrams/06,draft transition,ADR-011,Planning visible in feed,—,Planning output tests,Covered (MVP),
PLAN-002,User-steered planning,Planning (chat surface),API-CONTRACTS.md,Tasks domain,ADR-011,Intent preview before creation,—,Steering + clarification tests,Covered (MVP),
PLAN-003,Recurring planning cycles,Workflow coordinator (scheduler),WORKFLOW-STATE-MACHINES.md,§4 scheduled,ADR-008,Policy-checked cycles,Missed-cycle alerting,Schedule execution tests,Covered (Post-MVP),OQ-13 shift definition
PLAN-004,Planning transparency,Planning + Memory,AI-AND-WORKER-ARCHITECTURE.md,§1 context assembly,ADR-015,Input snapshot linked,—,Rationale linkage tests,Covered (MVP),
ROAD-001,Goals roadmap milestones,Planning,DATA-ARCHITECTURE.md,§1 Roadmap,ADR-016,—,—,Milestone traceability tests,Covered (MVP),
ROAD-002,Roadmap revision,Planning + Document,DATA-ARCHITECTURE.md,§1 versioned,ADR-016,Version history retained,—,Version + affected-task flag tests,Covered (MVP),
TASK-001,Task state machine,Task module + Workflow coordinator,WORKFLOW-STATE-MACHINES.md,§4,ADR-008,Server-enforced transitions,State metrics,Illegal-transition rejection tests,Covered (MVP),
