Requirement ID,Requirement title,MVP status,Ticket IDs,Phase,Milestone,Coverage type,Verification ticket,Release gate,Coverage status,Gap or question
ACC-001,Account registration,MVP,ACBP-P1-001;ACBP-P1-003,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
ACC-002,Authentication and session,MVP,ACBP-P1-001;ACBP-P1-002,P1,M1,Direct,ACBP-P1-014,Internal prototype,Covered,
ACC-003,Profile settings,MVP,ACBP-P1-003,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
ACC-004,Account deactivation,Post-MVP,ACBP-P7-002,P7,M7,Direct,ACBP-P7-009,Closed beta,Partially covered - halt only,"In-MVP-scope per plan (task brief includes deactivation). ACBP-P7-002: the ACCOUNT half is DEFERRED by owner ruling. The gate refuses a non-active account and names it, proved against real PostgreSQL, but NO transition writes that status, the account status vocabulary is unruled (CDR-079 s9.2) and there is no deactivation runbook."
ACC-005,Account deletion,Post-MVP,Roadmap epic: Data deletion completion,—,—,Roadmap epic,—,General MVP,Deferred by approved scope,
PORT-001,Company portfolio,MVP,ACBP-P1-011,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
PORT-002,Multiple companies,MVP,ACBP-P1-010;ACBP-P1-011,P1,M1,Direct,ACBP-P1-014,Internal prototype,Covered,
PORT-003,Company switching,MVP,ACBP-P1-011,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
PORT-004,Portfolio metrics,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,
COMP-001,Company creation modes,MVP,ACBP-P1-010,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,D-10 governs existing-business depth
COMP-002,Workspace provisioning,MVP,ACBP-P1-012,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
COMP-003,Provisioning progress stream,MVP,ACBP-P1-012,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
COMP-004,Company profile and brief,MVP,ACBP-P1-010,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
COMP-005,Company settings,MVP,ACBP-P1-010,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
COMP-006,Company pause,MVP,ACBP-P1-010;ACBP-P6-007;ACBP-P7-002,P1;P6;P7,M6,Direct,ACBP-P6-012,Closed beta,Partially covered - new-work halt only,"ACBP-P7-002: the enforcement half landed but this row read Covered while it did not exist. From ACBP-P1-010 until ACBP-P7-002 nothing in production read companies.status before doing autonomous work - pause was a LABEL, NOT A CONTROL. New-work halt is covered now (real PostgreSQL, four call sites). IN-FLIGHT SAFE-STOP IS NOT: pause refuses new work and does not terminate a run already executing (CDR-079 s9.5, OWNER). Mirrors docs/architecture/REQUIREMENT-TRACEABILITY.csv."
COMP-007,Company deletion safeguards,Post-MVP,Roadmap epic: Data deletion completion,—,—,Roadmap epic,—,General MVP,Deferred by approved scope,
COMP-008,Company status indicator,MVP,ACBP-P1-010,P1,M1,Direct,ACBP-P1-015,Internal prototype,Covered,
DISC-001,Adaptive interview engine,MVP,ACBP-P2-005,P2,M2,Direct,ACBP-P2-011;ACBP-P2-012,Internal prototype,Covered,
DISC-002,Context-aware follow-ups,MVP,ACBP-P2-005,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
DISC-003,Vague-answer detection,MVP,ACBP-P2-005,P2,M2,Direct,ACBP-P2-011,Internal prototype,Covered,
DISC-004,Contradiction detection,MVP,ACBP-P2-005,P2,M2,Direct,ACBP-P2-011,Internal prototype,Covered,
DISC-005,Unknown answers and assumptions,MVP,ACBP-P2-005;ACBP-P2-006,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
DISC-006,Question rationale,MVP,ACBP-P2-005,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
DISC-007,Progressive resumable session,MVP,ACBP-P2-001,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
DISC-008,Answer correction,MVP,ACBP-P2-002;ACBP-P2-009,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
UNDER-001,Business-understanding document,MVP,ACBP-P2-008,P2,M3,Direct,ACBP-P2-012,Internal prototype,Covered,
UNDER-002,Fact/assumption separation,MVP,ACBP-P2-006;ACBP-P2-008,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
UNDER-003,Understanding review controls,MVP,ACBP-P2-009,P2,M3,Direct,ACBP-P2-012,Internal prototype,Covered,
UNDER-004,Assumption lifecycle,MVP,ACBP-P2-009;ACBP-P2-006,P2,M3,Direct,ACBP-P2-012,Internal prototype,Covered,
UNDER-005,Understanding confidence display,MVP,ACBP-P2-008,P2,M3,Direct,ACBP-P2-012,Internal prototype,Covered,
STRAT-001,Distinct strategic options,MVP,ACBP-P3-001;ACBP-P3-002,P3,M3,Direct,ACBP-P3-006;ACBP-P3-007,Alpha,Covered,
STRAT-002,Option content standard,MVP,ACBP-P3-001,P3,M3,Direct,ACBP-P3-007,Alpha,Covered,
STRAT-003,Option selection controls,MVP,ACBP-P3-004,P3,M3,Direct,ACBP-P3-007,Alpha,Covered,
STRAT-004,AI recommendation with rationale,MVP,ACBP-P3-003,P3,M3,Direct,ACBP-P3-007,Alpha,Covered,
STRAT-005,Phase-limited approval,MVP,ACBP-P3-004;ACBP-P4-003,P3;P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
STRAT-006,Decision record,MVP,ACBP-P3-005,P3,M3,Direct,ACBP-P3-007,Alpha,Covered,
DEC-001,Decision Room hub,MVP,ACBP-P6-008,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
PLAN-001,Autonomous task planning,MVP,ACBP-P4-003,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
PLAN-002,User-steered planning,MVP,ACBP-P4-003,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
PLAN-003,Recurring planning cycles,Post-MVP,Roadmap epic: Autonomy levels 3-5,—,—,Roadmap epic,—,—,Deferred by approved scope,
PLAN-004,Planning transparency,MVP,ACBP-P4-006,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
ROAD-001,Goals roadmap milestones,MVP,ACBP-P4-001,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
ROAD-002,Roadmap revision,MVP,ACBP-P4-001,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
TASK-001,Task state machine,MVP,ACBP-P4-002,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
TASK-002,Task detail,MVP,ACBP-P4-005,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
TASK-003,Scheduled autonomous work,Post-MVP,Roadmap epic: Autonomy levels 3-5,—,—,Roadmap epic,—,—,Deferred by approved scope,
TASK-004,Manual run with credit preflight,MVP,ACBP-P5-014,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
TASK-005,Task result artifacts,MVP,ACBP-P5-011,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
TASK-006,Failure detail,MVP,ACBP-P5-013,P5,M5,Direct,ACBP-P6-012,Closed beta,Covered,
TASK-007,Task cancellation and pause,MVP,ACBP-P5-002,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
TASK-008,Repeat and delete controls,MVP,ACBP-P4-005,P4,M4,Direct,ACBP-P4-007,Alpha,Covered,
TASK-009,Idempotent execution,MVP,ACBP-P5-003;ACBP-P6-011,P5;P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
TASK-010,Visible retry policy,MVP,ACBP-P5-013,P5,M5,Direct,ACBP-P7-008,Closed beta,Covered,
WORK-001,Worker registry,MVP,ACBP-P5-004;ACBP-P5-005,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
WORK-002,Research worker,MVP,ACBP-P5-006,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
WORK-003,Strategy worker,MVP,ACBP-P5-007,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
WORK-004,Document worker,MVP,ACBP-P5-008,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
WORK-005,Least-privilege tool access,MVP,ACBP-P5-003,P5,M5,Direct,ACBP-P7-007,Closed beta,Covered,
WORK-006,Worker pause and disable,MVP,ACBP-P5-004,P5,M5,Direct,ACBP-P6-012,Closed beta,Covered,
TOOL-001,Tool registry,MVP,ACBP-P5-003,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
TOOL-002,Tool-call records,MVP,ACBP-P5-003,P5,M5,Direct,ACBP-P7-007,Closed beta,Covered,
TOOL-003,Server-side policy gate,MVP,ACBP-P6-001;ACBP-P6-002,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
APPR-001,Action risk classification,MVP,ACBP-P5-003;ACBP-P6-001,P5;P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
APPR-002,Approval request content,MVP,ACBP-P6-003,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
