Requirement ID,Requirement,Evidence type,Source file,Source section,Screenshot or artifact,Observed route,Observation,Confidence,Contradiction,Resolution
ACC-001,Account registration,partial,docs/research/polsia/raw-audit/01-executive-summary.md,Directly observed,none,/dashboard/<company-slug>,"An authenticated account existed and operated the dashboard; the registration flow itself was not exercised during the audit.",75,none,
ACC-002,Authentication and sessions,observed,docs/research/polsia/raw-audit/02-application-map.md,Application map table (authenticated routes),none,/dashboard/<company-slug>,"All dashboard surfaces sat behind an authenticated session; public pages were separate.",95,none,
ACC-003,Profile settings,observed,docs/research/polsia/raw-audit/02-application-map.md,Profile settings row,none,dashboard overlay,"Profile overlay exposed full name, email, social handle, content language, save, and deactivate controls; nothing was submitted.",97,none,
ACC-004,Account deactivation,observed,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 22,none,dashboard overlay,"Deactivate Account control with warning visible in profile settings; not activated.",95,none,
PORT-001,Company portfolio,observed,docs/research/polsia/raw-audit/02-application-map.md,Portfolio row,none,/dashboard,"Portfolio listed the company with views/users/revenue metrics.",97,none,
PORT-002,Multiple companies,observed+documented,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 1,none,dashboard overlay,"Add-another-company sheet existed and FAQ confirmed multi-company support.",97,none,
PORT-003,Company switching,observed,docs/research/polsia/raw-audit/02-application-map.md,Portfolio and Menu rows,none,/dashboard,"Navigation between portfolio and a company dashboard was exercised.",95,none,
PORT-004,Portfolio metrics,partial,docs/research/polsia/raw-audit/01-executive-summary.md,Directly observed,none,/dashboard,"One reading of views/users/revenue was seen; freshness and sourcing behavior untested.",75,none,
COMP-001,Three creation modes,documented+partial,docs/research/polsia/raw-audit/03-onboarding-flow.md,Creation choices,evidence/screenshots/01-onboarding-entry-redacted.png,dashboard overlay,"FAQ described idea / surprise-me / existing-business entry modes; the + New entry opened a subscription sheet so the form itself was not inspected.",85,none,"Exact question content remains unknown; recorded as open evidence gap."
COMP-002,Workspace provisioning,observed,docs/research/polsia/raw-audit/03-onboarding-flow.md,Safe evidence (activity sequence),none,/dashboard/<company-slug>,"Completed onboarding activity recorded profile, research, mission, roadmap, documents, email, codebase, database, hosting, sandbox, site, and initial tasks.",95,none,
COMP-003,Provisioning progress stream,observed,docs/research/polsia/raw-audit/03-onboarding-flow.md,Safe evidence,none,/dashboard/<company-slug>,"The provisioning sequence appeared as ordered activity entries ending in an explicit completed state.",97,none,
COMP-004,Company profile and brief,observed,docs/research/polsia/raw-audit/02-application-map.md,Documents row,none,dashboard overlay,"Mission, Market Research, and Product Roadmap documents existed for the company.",95,none,
COMP-005,Company settings,observed,docs/research/polsia/raw-audit/02-application-map.md,Company settings row,evidence/screenshots/02-company-settings-redacted.png,dashboard overlay,"Rename, Pause, and Advanced/Danger Zone controls visible.",97,none,
COMP-006,Company pause,observed,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 22,evidence/screenshots/02-company-settings-redacted.png,dashboard overlay,"Pause control visible in company settings; described as stopping daily work; not activated.",97,none,"In-flight pause semantics unknown (OQ-14)."
