Requirement ID,Category,Title,Requirement,User value,Evidence class,Evidence source,Confidence,Parity or improvement,Priority,MVP status,Dependencies,Acceptance criteria,Failure behavior,Open question
ACC-001,Accounts,Account registration,"A person can create a platform account with email verification.","Entry to the product.",Partially verified,"raw-audit/01-executive-summary.md (authenticated account exists; registration flow itself not observed)",75,Parity,Must,MVP,,"New account can sign in and reach an empty portfolio; unverified email cannot activate autonomous work.","Clear error on duplicate email or failed verification; no partial account left usable.","Exact Polsia registration flow was not observed (audit used an existing session)."
ACC-002,Accounts,Authentication and session,"Users authenticate with credentials and receive a server-managed session; all API access requires a valid session.","Protects account and companies.",Directly observed,"raw-audit/02-application-map.md (authenticated /dashboard routes)",95,Parity,Must,MVP,ACC-001,"Unauthenticated requests to any company resource are rejected; session expiry forces re-login without data loss.","Failed logins are rate-limited and audited.",
ACC-003,Accounts,Profile settings,"Users can edit profile details (name, email, content language) and save changes.","Personalization and locale control.",Directly observed,"raw-audit/02-application-map.md (Profile settings overlay)",97,Parity,Must,MVP,ACC-001,"Changes persist and are reflected across sessions; email change requires re-verification.","Validation errors shown inline; no silent failure.",
ACC-004,Accounts,Account deactivation,"Users can deactivate their account; deactivation stops all autonomous work and takes public artifacts offline.","Exit control and safety.",Directly observed,"raw-audit/02-application-map.md (Deactivate Account with warning); raw-audit/09-claim-verification.md claim 22",95,Parity,Must,Post-MVP,ACC-001;ADMIN-001,"After deactivation no scheduled or autonomous work runs; reactivation path is documented; data retained per retention policy.","In-flight work is cancelled or completed safely and recorded.",
ACC-005,Accounts,Account deletion,"Users can permanently delete their account and data after a cooling-off window, subject to legal retention.","Data rights and trust.",Improvement (own design),"Audit risk R-12 (ambiguous deletion); privacy baseline",n/a,Improvement,Must,Post-MVP,ACC-004;EXPORT-001,"Deletion requires two-step confirmation and an export offer; after purge no personal data remains in active systems; audit record of the deletion event persists in redacted form.","Deletion is blocked with explanation if legal holds exist.",
PORT-001,Portfolio,Company portfolio,"Users see a portfolio listing their companies with key status metrics.","One place to oversee all ventures.",Directly observed,"raw-audit/02-application-map.md (Portfolio /dashboard); evidence/screens.csv row 3",97,Parity,Must,MVP,ACC-002,"Portfolio lists only the user's companies with status and headline metrics; empty state guides creation.","Load failure shows retry without exposing other tenants' data.",
PORT-002,Portfolio,Multiple companies,"An account can hold multiple companies simultaneously.","Test several ideas in parallel.",Directly observed,"raw-audit/09-claim-verification.md claim 1 (99%)",97,Parity,Must,MVP,PORT-001,"A second company can be created and both remain independently operable.","Creation failure leaves no orphaned company shell.","Additional-company pricing is unresolved (see BILL-005)."
PORT-003,Portfolio,Company switching,"Users switch between companies without cross-contamination of context.","Fast multi-venture operation.",Directly observed,"raw-audit/02-application-map.md (portfolio to dashboard navigation)",95,Parity,Must,MVP,PORT-002,"Switching changes all visible data to the selected company only; no data from another company appears.","Stale context is discarded on switch; errors force reload rather than mixed state.",
PORT-004,Portfolio,Portfolio metrics,"Portfolio rows show per-company summary metrics (e.g., activity, tasks, revenue placeholder) with source and freshness.","Quick health scan.",Partially verified,"raw-audit/01-executive-summary.md (views/users/revenue observed once)",75,Parity,Should,Post-MVP,PORT-001,"Metrics show value, source, timestamp, and distinguish zero from unknown.","Metric pipeline failure shows 'unavailable' state, never fabricated values.",
COMP-001,Company,Company creation modes,"Users can start a company from (a) their own idea, (b) a platform-suggested idea, or (c) an existing business description.","Multiple entry paths to value.",First-party documented,"raw-audit/03-onboarding-flow.md (FAQ creation choices, 85%)",85,Parity,Must,MVP,ACC-002,"All three modes reachable from creation entry; idea mode is fully functional in MVP; each persists a company brief.","Abandoned creation leaves a resumable draft, not a broken company.","Exact Polsia form content unknown (paid gate blocked inspection)."
